trial_id,plot_id,row,column,replicate,block,treatment,genotype,yield_t_ha,protein_pct,moisture_pct
Wheat_2026_Field_A,P0906,9,6,1,B03,Standard N,G11,6.785,10.932,12.96
Wheat_2026_Field_A,P0907,9,7,1,B03,Control,G04,6.091,10.503,12.973
Wheat_2026_Field_A,P0908,9,8,1,B03,Standard N,G09,6.815,10.685,13.117
Wheat_2026_Field_A,P0909,9,9,2,B03,Low N,G03,6.32,10.286,12.494
Wheat_2026_Field_A,P0910,9,10,2,B03,High N,G08,7.628,10.916,12.828
Wheat_2026_Field_A,P0911,9,11,2,B03,Low N,G01,6.13,10.853,12.399
Wheat_2026_Field_A,P0912,9,12,2,B03,High N,G06,8.16,10.756,12.586
Wheat_2026_Field_A,P0913,9,13,2,B03,Low N,G11,5.789,10.706,12.19
Wheat_2026_Field_A,P0914,9,14,2,B03,High N,G04,6.517,11.266,12.669
Wheat_2026_Field_A,P0915,9,15,2,B03,Low N,G09,5.569,10.851,12.203
Wheat_2026_Field_A,P0916,9,16,2,B03,High N,G02,6.503,10.858,12.222
Wheat_2026_Field_A,P0917,9,17,3,B03,Standard N,G08,5.992,10.969,12.56
Wheat_2026_Field_A,P0918,9,18,3,B03,Control,G01,5.349,10.776,12.801
Wheat_2026_Field_A,P0919,9,19,3,B03,Standard N,G06,6.005,10.917,12.521
Wheat_2026_Field_A,P0920,9,20,3,B03,Control,G11,5.441,10.569,12.874
Wheat_2026_Field_A,P0921,9,21,3,B03,Standard N,G04,6.166,10.993,12.939
Wheat_2026_Field_A,P0922,9,22,3,B03,Control,G09,5.249,10.743,12.813
Wheat_2026_Field_A,P0923,9,23,3,B03,Standard N,G02,6.404,11.014,12.713
Wheat_2026_Field_A,P0924,9,24,3,B03,Control,G07,5.549,10.498,12.863
Wheat_2026_Field_A,P1001,10,1,1,B04,Low N,G01,5.12,11.265,12.891
Wheat_2026_Field_A,P1002,10,2,1,B04,High N,G06,6.112,10.994,12.801
Wheat_2026_Field_A,P1003,10,3,1,B04,Low N,G11,5.213,10.9,12.936
Wheat_2026_Field_A,P1004,10,4,1,B04,High N,G04,6.767,11.17,13.341
Wheat_2026_Field_A,P1005,10,5,1,B04,Low N,G09,5.986,10.724,12.915
Wheat_2026_Field_A,P1006,10,6,1,B04,High N,G02,7.329,11.218,12.841
Wheat_2026_Field_A,P1007,10,7,1,B04,Low N,G07,6.315,10.962,12.744
Wheat_2026_Field_A,P1008,10,8,1,B04,High N,G12,6.892,10.536,12.881
Wheat_2026_Field_A,P1009,10,9,2,B04,Standard N,G06,6.739,10.688,12.12
Wheat_2026_Field_A,P1010,10,10,2,B04,Control,G11,5.36,10.725,12.433
Wheat_2026_Field_A,P1011,10,11,2,B04,Standard N,G04,6.746,10.945,12.502
Wheat_2026_Field_A,P1012,10,12,2,B04,Control,G09,5.045,10.431,12.51
Wheat_2026_Field_A,P1013,10,13,2,B04,Standard N,G02,7.093,10.921,12.9
Wheat_2026_Field_A,P1014,10,14,2,B04,Control,G07,4.898,10.777,12.579
Wheat_2026_Field_A,P1015,10,15,2,B04,Standard N,G12,5.368,10.698,12.501
Wheat_2026_Field_A,P1016,10,16,2,B04,Control,G05,5.877,10.523,12.461
Wheat_2026_Field_A,P1017,10,17,3,B04,High N,G11,6.829,11.247,13.076
Wheat_2026_Field_A,P1018,10,18,3,B04,Low N,G04,5.727,10.732,12.555
Wheat_2026_Field_A,P1019,10,19,3,B04,High N,G09,5.754,11.417,12.907
Wheat_2026_Field_A,P1020,10,20,3,B04,Low N,G02,6.325,11.092,12.747
Wheat_2026_Field_A,P1021,10,21,3,B04,High N,G07,6.83,10.916,12.916
Wheat_2026_Field_A,P1022,10,22,3,B04,Low N,G12,5.611,10.69,12.947
Wheat_2026_Field_A,P1023,10,23,3,B04,High N,G05,7.576,10.592,12.678
Wheat_2026_Field_A,P1024,10,24,3,B04,Low N,G10,5.604,10.863,12.742
Wheat_2026_Field_A,P1101,11,1,1,B04,Standard N,G04,5.011,11.246,12.725
Wheat_2026_Field_A,P1102,11,2,1,B04,Control,G09,5.08,10.499,12.91
Wheat_2026_Field_A,P1103,11,3,1,B04,Standard N,G02,6.861,10.592,12.898
Wheat_2026_Field_A,P1104,11,4,1,B04,Control,G07,5.779,10.426,12.842
Wheat_2026_Field_A,P1105,11,5,1,B04,Standard N,G12,6.557,10.727,12.472
Wheat_2026_Field_A,P1106,11,6,1,B04,Control,G05,6.729,10.509,12.586
Wheat_2026_Field_A,P1107,11,7,1,B04,Standard N,G10,5.777,11.269,12.51
Wheat_2026_Field_A,P1108,11,8,1,B04,Control,G03,6.044,10.714,12.6
Wheat_2026_Field_A,P1109,11,9,2,B04,High N,G09,7.364,10.736,12.568
Wheat_2026_Field_A,P1110,11,10,2,B04,Low N,G02,6.335,11.069,12.367
Wheat_2026_Field_A,P1111,11,11,2,B04,High N,G07,6.705,10.99,12.579
Wheat_2026_Field_A,P1112,11,12,2,B04,Low N,G12,6.035,11.13,12.557
Wheat_2026_Field_A,P1113,11,13,2,B04,High N,G05,6.941,10.864,12.209
Wheat_2026_Field_A,P1114,11,14,2,B04,Low N,G10,5.135,10.744,12.335
Wheat_2026_Field_A,P1115,11,15,2,B04,High N,G03,6.108,10.918,12.366
Wheat_2026_Field_A,P1116,11,16,2,B04,Low N,G08,5.528,10.605,12.783
Wheat_2026_Field_A,P1117,11,17,3,B04,Control,G02,5.453,10.693,12.458
Wheat_2026_Field_A,P1118,11,18,3,B04,Standard N,G07,5.973,11.111,13.129
Wheat_2026_Field_A,P1119,11,19,3,B04,Control,G12,4.833,10.886,12.685
Wheat_2026_Field_A,P1120,11,20,3,B04,Standard N,G05,7.125,11.067,12.659
Wheat_2026_Field_A,P1121,11,21,3,B04,Control,G10,5.342,10.621,12.948
Wheat_2026_Field_A,P1122,11,22,3,B04,Standard N,G03,6.282,10.937,13.381
Wheat_2026_Field_A,P1123,11,23,3,B04,Control,G08,6.231,10.753,12.913
Wheat_2026_Field_A,P1124,11,24,3,B04,Standard N,G01,7.355,10.868,12.922
Wheat_2026_Field_A,P1201,12,1,1,B04,High N,G07,6.303,11.018,12.748
Wheat_2026_Field_A,P1202,12,2,1,B04,Low N,G12,5.636,11.089,12.882
Wheat_2026_Field_A,P1203,12,3,1,B04,High N,G05,7.6,11.195,12.708
Wheat_2026_Field_A,P1204,12,4,1,B04,Low N,G10,5.681,10.839,12.713
Wheat_2026_Field_A,P1205,12,5,1,B04,High N,G03,7.16,10.777,12.666
Wheat_2026_Field_A,P1206,12,6,1,B04,Low N,G08,6.113,10.469,12.538
Wheat_2026_Field_A,P1207,12,7,1,B04,High N,G01,6.749,10.833,12.81
Wheat_2026_Field_A,P1208,12,8,1,B04,Low N,G06,5.864,10.77,12.764
Wheat_2026_Field_A,P1209,12,9,2,B04,Control,G12,5.839,10.615,12.869
Wheat_2026_Field_A,P1210,12,10,2,B04,Standard N,G05,7.08,11.076,12.469
Wheat_2026_Field_A,P1211,12,11,2,B04,Control,G10,4.766,10.37,12.563
Wheat_2026_Field_A,P1212,12,12,2,B04,Standard N,G03,5.706,10.835,12.349
Wheat_2026_Field_A,P1213,12,13,2,B04,Control,G08,5.252,10.387,12.551
Wheat_2026_Field_A,P1214,12,14,2,B04,Standard N,G01,6.266,10.976,12.557
Wheat_2026_Field_A,P1215,12,15,2,B04,Control,G06,6.122,10.947,12.882
Wheat_2026_Field_A,P1216,12,16,2,B04,Standard N,G11,5.532,11.32,12.663
Wheat_2026_Field_A,P1217,12,17,3,B04,Low N,G05,5.632,10.948,12.914
Wheat_2026_Field_A,P1218,12,18,3,B04,High N,G10,5.807,11.133,12.772
Wheat_2026_Field_A,P1219,12,19,3,B04,Low N,G03,4.939,10.699,12.794
Wheat_2026_Field_A,P1220,12,20,3,B04,High N,G08,6.335,11.058,13.052
Wheat_2026_Field_A,P1221,12,21,3,B04,Low N,G01,5.483,10.509,13.113
Wheat_2026_Field_A,P1222,12,22,3,B04,High N,G06,7.764,11.395,12.658
Wheat_2026_Field_A,P1223,12,23,3,B04,Low N,G11,6.236,10.911,12.458
Wheat_2026_Field_A,P1224,12,24,3,B04,High N,G04,7.327,11.159,12.794
Wheat_2026_Field_A,P1301,13,1,1,B05,Control,G10,4.708,10.535,12.947
Wheat_2026_Field_A,P1302,13,2,1,B05,Standard N,G03,6.059,10.907,12.576
Wheat_2026_Field_A,P1303,13,3,1,B05,Control,G08,5.751,10.514,12.862
Wheat_2026_Field_A,P1304,13,4,1,B05,Standard N,G01,6.489,10.951,12.613
Wheat_2026_Field_A,P1305,13,5,1,B05,Control,G06,6.195,10.425,13.105
Wheat_2026_Field_A,P1306,13,6,1,B05,Standard N,G11,5.97,10.626,13.11
Wheat_2026_Field_A,P1307,13,7,1,B05,Control,G04,5.489,10.849,12.765
Wheat_2026_Field_A,P1308,13,8,1,B05,Standard N,G09,6.531,10.765,12.32
Wheat_2026_Field_A,P1309,13,9,2,B05,Low N,G03,6.096,10.883,12.575
Wheat_2026_Field_A,P1310,13,10,2,B05,High N,G08,7.139,11.15,12.401
Wheat_2026_Field_A,P1311,13,11,2,B05,Low N,G01,5.95,10.809,12.415
Wheat_2026_Field_A,P1312,13,12,2,B05,High N,G06,6.994,10.977,12.093
Wheat_2026_Field_A,P1313,13,13,2,B05,Low N,G11,5.323,10.636,12.428
Wheat_2026_Field_A,P1314,13,14,2,B05,High N,G04,6.957,11.099,12.487
Wheat_2026_Field_A,P1315,13,15,2,B05,Low N,G09,5.323,11.044,12.325
Wheat_2026_Field_A,P1316,13,16,2,B05,High N,G02,6.104,11.211,12.667
Wheat_2026_Field_A,P1317,13,17,3,B05,Standard N,G08,4.919,10.881,13.149
Wheat_2026_Field_A,P1318,13,18,3,B05,Control,G01,4.689,10.861,12.881
Wheat_2026_Field_A,P1319,13,19,3,B05,Standard N,G06,6.528,10.873,12.801
Wheat_2026_Field_A,P1320,13,20,3,B05,Control,G11,4.328,10.394,13.132
Wheat_2026_Field_A,P1321,13,21,3,B05,Standard N,G04,5.759,11.089,13.289
Wheat_2026_Field_A,P1322,13,22,3,B05,Control,G09,4.835,10.674,13.099
